SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,Module_Color,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared.name,Stress,TopologicalCoefficient,SNP
308464,4.51386896,0.00153716153614348,0.22153944,0.36666667,21,10,false,2,uniprotkb:Q9H845,30.3125,21,0,5,0.76574207,false,0,uniprotkb:Q9H845,577854,0.09975166,No
308465,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P30837,230,1,0,0,0.76065678,false,0,uniprotkb:P30837,0,0,No
308466,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9BT17,230,1,0,0,0.76065678,false,0,uniprotkb:Q9BT17,0,0,No
308467,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9BYN8,230,1,0,0,0.76065678,false,0,uniprotkb:Q9BYN8,0,0,No
308468,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P42126,230,1,0,0,0.76065678,false,0,uniprotkb:P42126,0,0,No
308469,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P23378,230,1,0,0,0.76065678,false,0,uniprotkb:P23378,0,0,No
308470,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9NX20,230,1,0,0,0.76065678,false,0,uniprotkb:Q9NX20,0,0,No
308471,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P23368,230,1,0,0,0.76065678,false,0,uniprotkb:P23368,0,0,Yes
308472,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9HD33,230,1,0,0,0.76065678,false,0,uniprotkb:Q9HD33,0,0,No
308473,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9Y277,230,1,0,0,0.76065678,false,0,uniprotkb:Q9Y277,0,0,No
308474,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9BYD2,230,1,0,0,0.76065678,false,0,uniprotkb:Q9BYD2,0,0,No
308475,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q5JTZ9,230,1,0,0,0.76065678,false,0,uniprotkb:Q5JTZ9,0,0,No
